date,people
2010-05-01,19020118
2010-06-01,21096692
2010-07-01,22496896
2010-08-01,24571154
2010-09-01,27744680
2010-10-01,30076088
2010-11-01,31175164
2010-12-01,33880472
2011-01-01,34924704
2011-02-01,41301888
2011-03-01,47274360
2011-04-01,51564920
2011-05-01,58317276
2011-06-01,61791824
2011-07-01,65738312
2011-08-01,68923552
2011-09-01,72821928
2011-10-01,73609824
2011-11-01,78024504
2011-12-01,82445192
2012-01-01,92087096
2012-02-01,102296752
2012-03-01,109841544
2012-04-01,104106168
2012-05-01,115758448
2012-06-01,113899360
2012-07-01,108543472
2012-08-01,112769072
2012-09-01,120256160
2012-10-01,124390192
2012-11-01,134480224
2012-12-01,147525568
2013-01-01,145602464
2013-02-01,146146144
2013-03-01,140544144
2013-04-01,136447584
2013-05-01,138832112
2013-06-01,136477904
